FileName,Type,Duration,Time_Shape
Alex_blue_square,Practice,2252.335601,
Alex_blue_triangle,Practice,2269.750567,
Alex_green_square,Practice,2101.405896,
Alex_green_triangle,Practice,2298.77551,
Alex_red_square,Practice,2252.335601,
Alex_red_triangle,Practice,2472.92517,
Alex_yellow_square,Practice,2298.77551,
Alex_yellow_triangle,Practice,2298.77551,
Casey_blue_square,Practice,2217.505669,
Casey_blue_triangle,Practice,2333.605442,
Casey_green_square,Practice,2275.555556,
Casey_green_triangle,Practice,2240.725624,
Casey_red_square,Practice,2240.725624,
Casey_red_triangle,Practice,2263.945578,
Casey_yellow_square,Practice,2323.446712,
Casey_yellow_triangle,Practice,2298.77551,
empty,Practice,3877.732426,
he_blue_square1,Pronoun,1956.281179,1274.159047
he_blue_square2,Pronoun,2060.770975,1352.667406
he_blue_square3,Pronoun,1983.628118,1339.668148
he_blue_triangle1,Pronoun,2107.210884,1410.406971
he_blue_triangle2,Pronoun,1976.598639,1274.024875
he_blue_triangle3,Pronoun,2217.505669,1397.020048
he_green_square1,Pronoun,2020.136054,1361.075388
he_green_square2,Pronoun,2025.941043,1339.742459
he_green_square3,Pronoun,1938.866213,1334.974938
he_green_triangle1,Pronoun,1979.501134,1316.056409
he_green_triangle2,Pronoun,2068.027211,1392.394289
he_green_triangle3,Pronoun,2089.795918,1311.654641
he_red_square1,Pronoun,2020.136054,1302.087097
he_red_square2,Pronoun,1950.47619,1250.592233
he_red_square3,Pronoun,1863.401361,1219.965724
he_red_triangle1,Pronoun,2020.136054,1312.33338
he_red_triangle2,Pronoun,3006.984127,1790.393135
he_red_triangle3,Pronoun,2182.675737,1401.076552
he_yellow_square1,Pronoun,2078.185941,1377.977125
he_yellow_square2,Pronoun,2043.356009,1399.966068
he_yellow_square3,Pronoun,1904.036281,1343.143501
he_yellow_triangle1,Pronoun,2205.895692,1391.983324
he_yellow_triangle2,Pronoun,2263.945578,1455.407906
he_yellow_triangle3,Pronoun,2205.895692,1406.901284
Jaime_blue_square,Practice,2171.06576,
Jaime_blue_triangle,Practice,2403.265306,
Jaime_green_square,Practice,2292.970522,
Jaime_green_triangle,Practice,2321.995465,
Jaime_red_square,Practice,2252.335601,
Jaime_red_triangle,Practice,2298.77551,
Jaime_yellow_square,Practice,2368.435374,
Jaime_yellow_triangle,Practice,2298.77551,
Jordan_blue_square,Practice,2063.673469,
Jordan_blue_triangle,Practice,2142.040816,
Jordan_green_square,Practice,2345.21542,
Jordan_green_triangle,Practice,2368.435374,
Jordan_red_square,Practice,2182.675737,
Jordan_red_triangle,Practice,2519.365079,
Jordan_yellow_square,Practice,2298.77551,
Jordan_yellow_triangle,Practice,2339.410431,
S01_Alex_Sam,Story,4353.741497,
S01_end,End,1845.986395,
S01_Jordan_Sam,Story,4469.84127,
S01_Sam_Alex,Story,4237.641723,
S01_Sam_Jordan,Story,4957.460317,
S02_Alex_Sam,Story,4051.882086,
S02_end,End,3024.399093,
S02_Jordan_Sam,Story,4563.333333,
S02_Sam_Alex,Story,3889.342404,
S02_Sam_Jordan,Story,4516.281179,
S03_Alex_Sam,Story,4585.941043,
S03_end,End,2368.435374,
S03_Jordan_Sam,Story,4731.06576,
S03_Sam_Alex,Story,4713.650794,
S03_Sam_Jordan,Story,5120,
S04_Alex_Sam,Story,4446.621315,
S04_end,End,2426.485261,
S04_Jordan_Sam,Story,5224.489796,
S04_Sam_Alex,Story,4655.600907,
S04_Sam_Jordan,Story,4620.770975,
S05_Alex_Sam,Story,3842.902494,
S05_end,End,1503.492063,
S05_Jordan_Sam,Story,4017.052154,
S05_Sam_Alex,Story,3784.852608,
S05_Sam_Jordan,Story,4144.761905,
S06_Alex_Jaime,Story,4330.521542,
S06_end,End,2345.21542,
S06_Jaime_Alex,Story,4435.011338,
S06_Jordan_Taylor,Story,4249.251701,
S06_Taylor_Jordan,Story,4760.090703,
S07_Alex_Jaime,Story,5015.510204,
S07_end,End,3157.913832,
S07_Jaime_Alex,Story,4876.190476,
S07_Jordan_Taylor,Story,5259.319728,
S07_Taylor_Jordan,Story,5526.349206,
S08_Alex_Jaime,Story,3912.562358,
S08_end,End,1950.47619,
S08_Jaime_Alex,Story,3761.632653,
S08_Jordan_Taylor,Story,3715.192744,
S08_Taylor_Jordan,Story,3947.39229,
S09_Alex_Jaime,Story,4342.131519,
S09_end,End,1915.646259,
S09_Jaime_Alex,Story,4156.371882,
S09_Jordan_Taylor,Story,4167.981859,
S09_Taylor_Jordan,Story,4330.521542,
S10_Alex_Jaime,Story,4574.331066,
S10_end,End,2739.954649,
S10_Jaime_Alex,Story,4295.69161,
S10_Jordan_Taylor,Story,4353.741497,
S10_Taylor_Jordan,Story,4736.870748,
S11_Alex_Jordan,Story,4133.151927,
S11_end,End,1950.47619,
S11_Jordan_Alex,Story,4226.031746,
S12_Alex_Jordan,Story,5526.349206,
S12_end,End,2298.77551,
S12_Jordan_Alex,Story,5944.30839,
S13_Alex_Jordan,Story,4179.591837,
S13_end,End,1822.76644,
S13_Jordan_Alex,Story,4423.401361,
S14_Alex_Jordan,Story,3871.927438,
S14_end,End,2321.995465,
S14_Jordan_Alex,Story,3703.582766,
S15_Alex_Jordan,Story,4539.501134,
S15_end,End,2443.900227,
S15_Jordan_Alex,Story,4365.351474,
S16_Alex_Taylor,Story,4075.102041,
S16_end,End,2066.575964,
S16_Taylor_Alex,Story,4086.712018,
S17_Alex_Taylor,Story,4585.941043,
S17_end,End,2623.854875,
S17_Taylor_Alex,Story,4307.301587,
S18_Alex_Taylor,Story,4318.911565,
S18_end,End,2063.673469,
S18_Taylor_Alex,Story,4527.891156,
S19_Alex_Taylor,Story,4620.770975,
S19_end,End,2774.78458,
S19_Taylor_Alex,Story,4493.061224,
S20_Alex_Taylor,Story,4806.530612,
S20_end,End,2136.235828,
S20_Taylor_Alex,Story,4736.870748,
S21_Alex_Casey,Story,4423.401361,
S21_Casey_Alex,Story,4551.111111,
S21_end,End,2856.054422,
S22_Alex_Casey,Story,4760.090703,
S22_Casey_Alex,Story,4643.99093,
S22_end,End,2310.385488,
S23_Alex_Casey,Story,4226.031746,
S23_Casey_Alex,Story,4760.090703,
S23_end,End,2461.315193,
S24_Alex_Casey,Story,4202.811791,
S24_Casey_Alex,Story,4051.882086,
S24_end,End,2252.335601,
S25_Alex_Casey,Story,4040.272109,
S25_Casey_Alex,Story,4411.791383,
S25_end,End,2414.875283,
S26_end,End,1973.696145,
S26_Sam_Taylor,Story,4945.85034,
S26_Taylor_Sam,Story,4922.630385,
S27_end,End,2739.954649,
S27_Sam_Taylor,Story,3912.562358,
S27_Taylor_Sam,Story,3691.972789,
S28_end,End,1880.816327,
S28_Sam_Taylor,Story,4829.750567,
S28_Taylor_Sam,Story,4481.451247,
S29_end,End,2240.725624,
S29_Sam_Taylor,Story,5154.829932,
S29_Taylor_Sam,Story,5387.029478,
S30_end,End,2484.535147,
S30_Sam_Taylor,Story,4342.131519,
S30_Taylor_Sam,Story,4597.55102,
S31_Casey_Sam,Story,4562.721088,
S31_end,End,2174.421769,
S31_Sam_Casey,Story,4643.99093,
S32_Casey_Sam,Story,4051.882086,
S32_end,End,2263.945578,
S32_Sam_Casey,Story,3976.417234,
S33_Casey_Sam,Story,3616.507937,
S33_end,End,2246.575964,
S33_Sam_Casey,Story,3808.072562,
S34_Casey_Sam,Story,3854.512472,
S34_end,End,2902.879819,
S34_Sam_Casey,Story,4063.492063,
S35_Casey_Sam,Story,3970.612245,
S35_end,End,1825.646259,
S35_Sam_Casey,Story,4161.972789,
S36_Casey_Jordan,Story,4539.501134,
S36_end,End,3088.253968,
S36_Jordan_Casey,Story,4783.310658,
S37_Casey_Jordan,Story,3982.222222,
S37_end,End,1883.333333,
S37_Jordan_Casey,Story,4107.006803,
S38_Casey_Jordan,Story,4498.798186,
S38_end,End,1674.331066,
S38_Jordan_Casey,Story,4806.530612,
S39_Casey_Jordan,Story,3738.412698,
S39_end,End,2118.61678,
S39_Jordan_Casey,Story,3796.462585,
S40_Casey_Jordan,Story,3924.172336,
S40_end,End,2089.795918,
S40_Jordan_Casey,Story,4272.471655,
S41_end,End,2484.535147,
S41_Jaime_Jordan,Story,3947.505669,
S41_Jordan_Jaime,Story,3870.770975,
S42_end,End,2229.115646,
S42_Jaime_Jordan,Story,3912.562358,
S42_Jordan_Jaime,Story,3896.643991,
S43_end,End,2159.455782,
S43_Jaime_Jordan,Story,4017.052154,
S43_Jordan_Jaime,Story,4202.811791,
S44_end,End,2751.451247,
S44_Jaime_Jordan,Story,3738.412698,
S44_Jordan_Jaime,Story,3877.732426,
S45_end,End,1915.646259,
S45_Jaime_Jordan,Story,4017.052154,
S45_Jordan_Jaime,Story,4272.471655,
S46_end,End,1962.086168,
S46_Jaime_Sam,Story,4133.151927,
S46_Sam_Jaime,Story,3953.197279,
S47_end,End,1985.306122,
S47_Jaime_Sam,Story,3889.342404,
S47_Sam_Jaime,Story,3796.462585,
S48_end,End,2261.269841,
S48_Jaime_Sam,Story,3794.761905,
S48_Sam_Jaime,Story,3913.764172,
S49_end,End,1738.435374,
S49_Jaime_Sam,Story,3464.739229,
S49_Sam_Jaime,Story,3259.591837,
S50_end,End,1938.866213,
S50_Jaime_Sam,Story,3729.206349,
S50_Sam_Jaime,Story,4004.965986,
S51_Casey_Jaime,Story,4226.031746,
S51_Casey_Taylor,Story,3954.104308,
S51_end,End,1915.646259,
S51_Jaime_Casey,Story,4288.072562,
S51_Taylor_Casey,Story,4200.498866,
S52_Casey_Jaime,Story,3761.247166,
S52_Casey_Taylor,Story,3610.702948,
S52_end,End,1875.283447,
S52_Jaime_Casey,Story,3959.002268,
S52_Taylor_Casey,Story,3959.002268,
S53_Casey_Jaime,Story,3726.802721,
S53_Casey_Taylor,Story,4376.326531,
S53_end,End,2461.315193,
S53_Jaime_Casey,Story,3796.462585,
S53_Taylor_Casey,Story,3877.732426,
S54_Casey_Jaime,Story,4458.231293,
S54_Casey_Taylor,Story,3947.39229,
S54_end,End,1822.76644,
S54_Jaime_Casey,Story,4411.791383,
S54_Taylor_Casey,Story,4041.043084,
S55_Casey_Jaime,Story,4301.927438,
S55_Casey_Taylor,Story,4574.331066,
S55_end,End,1779.365079,
S55_Jaime_Casey,Story,4272.471655,
S55_Taylor_Casey,Story,4423.401361,
S56_end,End,1659.365079,
S56_Jaime_Taylor,Story,3993.8322,
S56_Taylor_Jaime,Story,3819.68254,
S57_end,End,2716.734694,
S57_Jaime_Taylor,Story,4388.571429,
S57_Taylor_Jaime,Story,4086.712018,
S58_end,End,2509.387755,
S58_Jaime_Taylor,Story,3970.612245,
S58_Taylor_Jaime,Story,3877.732426,
S59_end,End,2636.643991,
S59_Jaime_Taylor,Story,4040.272109,
S59_Taylor_Jaime,Story,3645.53288,
S60_end,End,2415.986395,
S60_Jaime_Taylor,Story,4344.013605,
S60_Taylor_Jaime,Story,4597.55102,
Sam_blue_square,Story,2345.21542,
Sam_blue_triangle,Story,2403.265306,
Sam_green_square,Story,2472.92517,
Sam_green_triangle,Story,2287.165533,
Sam_red_square,Story,2327.800454,
Sam_red_triangle,Story,2426.485261,
Sam_yellow_square,Story,2298.77551,
Sam_yellow_triangle,Story,2298.77551,
she_blue_square1,Pronoun,2194.285714,1509.969429
she_blue_square2,Pronoun,2333.605442,1551.47999
she_blue_square3,Pronoun,2095.600907,1386.158437
she_blue_triangle1,Pronoun,2252.335601,1421.288236
she_blue_triangle2,Pronoun,2200.090703,1432.956317
she_blue_triangle3,Pronoun,2110.113379,1381.487666
she_green_square1,Pronoun,1956.281179,1376.69058
she_green_square2,Pronoun,2104.30839,1455.957368
she_green_square3,Pronoun,2020.136054,1384.057363
she_green_triangle1,Pronoun,2287.165533,1563.140581
she_green_triangle2,Pronoun,2292.970522,1563.231236
she_green_triangle3,Pronoun,2331.927438,1585.847519
she_red_square1,Pronoun,2124.62585,1426.909834
she_red_square2,Pronoun,2229.115646,1414.173276
she_red_square3,Pronoun,2165.260771,1461.522037
she_red_triangle1,Pronoun,2179.773243,1486.059062
she_red_triangle2,Pronoun,2153.650794,1460.967778
she_red_triangle3,Pronoun,2046.258503,1367.358729
she_yellow_square1,Pronoun,2005.623583,1360.550855
she_yellow_square2,Pronoun,2005.623583,1374.114422
she_yellow_square3,Pronoun,1944.671202,1388.247349
she_yellow_triangle1,Pronoun,2194.285714,1503.372652
she_yellow_triangle2,Pronoun,2153.650794,1446.403138
she_yellow_triangle3,Pronoun,2176.870748,1495.121541
Taylor_blue_square,Practice,2240.725624,
Taylor_blue_triangle,Practice,2173.968254,
Taylor_green_square,Practice,2263.945578,
Taylor_green_triangle,Practice,2275.555556,
Taylor_red_square,Practice,2182.675737,
Taylor_red_triangle,Practice,2554.195011,
Taylor_yellow_square,Practice,2188.480726,
Taylor_yellow_triangle,Practice,2298.77551,
they_blue_square1,Pronoun,1944.671202,1283.036472
they_blue_square2,Pronoun,1895.328798,1246.306048
they_blue_square3,Pronoun,1796.643991,1215.748216
they_blue_triangle1,Pronoun,1973.696145,1275.490973
they_blue_triangle2,Pronoun,1982.403628,1264.35997
they_blue_triangle3,Pronoun,2063.673469,1284.79185
they_green_square1,Pronoun,1967.891156,1291.702115
they_green_square2,Pronoun,1938.866213,1295.596639
they_green_square3,Pronoun,1877.913832,1299.316437
they_green_triangle1,Pronoun,2023.038549,1332.607586
they_green_triangle2,Pronoun,2040.453515,1328.981914
they_green_triangle3,Pronoun,1967.891156,1298.35631
they_red_square1,Pronoun,1860.498866,1236.938648
they_red_square2,Pronoun,1892.426304,1242.167815
they_red_square3,Pronoun,1883.718821,1226.789768
they_red_triangle1,Pronoun,1979.501134,1262.508784
they_red_triangle2,Pronoun,2002.721088,1307.79213
they_red_triangle3,Pronoun,1985.306122,1316.527981
they_yellow_square1,Pronoun,1880.816327,1305.400708
they_yellow_square2,Pronoun,1808.253968,1235.833226
they_yellow_square3,Pronoun,1877.913832,1308.841359
they_yellow_triangle1,Pronoun,1930.15873,1285.214281
they_yellow_triangle2,Pronoun,1883.718821,1274.669778
they_yellow_triangle3,Pronoun,1877.913832,1267.5667
